Songs,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot/not_hot
LaLa,Myke Towers,['14jTkEzxNPyl8CV6tW8uhe'],0.546,0.452,6,-11.934,0,0.374,0.583,0.0,0.147,0.712,81.344,audio_features,14jTkEzxNPyl8CV6tW8uhe,spotify:track:14jTkEzxNPyl8CV6tW8uhe,https://api.spotify.com/v1/tracks/14jTkEzxNPyl8CV6tW8uhe,https://api.spotify.com/v1/audio-analysis/14jTkEzxNPyl8CV6tW8uhe,254307,4,H
500lbs,Lil Tecca,['1xWkeSPhf3bZqHY7Ncz8vp'],0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4,H
Tourniquet,Zach Bryan,['46fyLy4W9HhAkcb67kLaAV'],0.204,0.898,4,-5.859,0,0.0938,0.00505,0.0107,0.31,0.14,98.943,audio_features,46fyLy4W9HhAkcb67kLaAV,spotify:track:46fyLy4W9HhAkcb67kLaAV,https://api.spotify.com/v1/tracks/46fyLy4W9HhAkcb67kLaAV,https://api.spotify.com/v1/audio-analysis/46fyLy4W9HhAkcb67kLaAV,278067,4,H
One More Time,Blink-182,['0Y8OIyvMvyTpEUhfLupDoh'],0.887,0.538,1,-6.071,0,0.136,0.35,0.365,0.0824,0.805,99.985,audio_features,0Y8OIyvMvyTpEUhfLupDoh,spotify:track:0Y8OIyvMvyTpEUhfLupDoh,https://api.spotify.com/v1/tracks/0Y8OIyvMvyTpEUhfLupDoh,https://api.spotify.com/v1/audio-analysis/0Y8OIyvMvyTpEUhfLupDoh,193165,4,H
Strangers,Kenya Grace,['69KGL8lLuT5KBQiTPPjaOP'],0.64,0.642,7,-11.741,1,0.039,0.0597,0.769,0.326,0.421,131.971,audio_features,69KGL8lLuT5KBQiTPPjaOP,spotify:track:69KGL8lLuT5KBQiTPPjaOP,https://api.spotify.com/v1/tracks/69KGL8lLuT5KBQiTPPjaOP,https://api.spotify.com/v1/audio-analysis/69KGL8lLuT5KBQiTPPjaOP,208880,4,H
The Grudge,Olivia Rodrigo,['0H9sXkWkIQlCNqJhXhxpul'],0.58,0.143,0,-17.009,1,0.0474,0.955,0.916,0.115,0.323,121.534,audio_features,0H9sXkWkIQlCNqJhXhxpul,spotify:track:0H9sXkWkIQlCNqJhXhxpul,https://api.spotify.com/v1/tracks/0H9sXkWkIQlCNqJhXhxpul,https://api.spotify.com/v1/audio-analysis/0H9sXkWkIQlCNqJhXhxpul,200013,4,H
Un Preview,Bad Bunny,['0nsd987oI8fJ6Pnfji9ehi'],0.625,0.516,5,-8.067,1,0.0336,0.000514,0.767,0.068,0.56,120.052,audio_features,0nsd987oI8fJ6Pnfji9ehi,spotify:track:0nsd987oI8fJ6Pnfji9ehi,https://api.spotify.com/v1/tracks/0nsd987oI8fJ6Pnfji9ehi,https://api.spotify.com/v1/audio-analysis/0nsd987oI8fJ6Pnfji9ehi,290457,4,H
"Pain, Sweet, Pain",Zach Bryan,['4KaCwku7yZUrDRcOc9rMmQ'],0.382,0.791,9,-5.416,0,0.0878,0.108,0.0,0.244,0.315,135.9,audio_features,4KaCwku7yZUrDRcOc9rMmQ,spotify:track:4KaCwku7yZUrDRcOc9rMmQ,https://api.spotify.com/v1/tracks/4KaCwku7yZUrDRcOc9rMmQ,https://api.spotify.com/v1/audio-analysis/4KaCwku7yZUrDRcOc9rMmQ,195740,4,H
Lose Control,Teddy Swims,['3bhYLVdNCHxNfGqG5YaWzk'],0.758,0.701,11,-5.271,0,0.042,0.307,4.42e-06,0.158,0.547,149.952,audio_features,3bhYLVdNCHxNfGqG5YaWzk,spotify:track:3bhYLVdNCHxNfGqG5YaWzk,https://api.spotify.com/v1/tracks/3bhYLVdNCHxNfGqG5YaWzk,https://api.spotify.com/v1/audio-analysis/3bhYLVdNCHxNfGqG5YaWzk,156800,3,H
SkeeYee,Sexyy Red,['7icwQvajsokotDfM3tefW6'],0.739,0.536,1,-10.843,1,0.308,0.231,0.0,0.35,0.64,82.549,audio_features,7icwQvajsokotDfM3tefW6,spotify:track:7icwQvajsokotDfM3tefW6,https://api.spotify.com/v1/tracks/7icwQvajsokotDfM3tefW6,https://api.spotify.com/v1/audio-analysis/7icwQvajsokotDfM3tefW6,154120,4,H
Everything I Love,Morgan Wallen,['31mSJLJ2UptaxPj2uCi88A'],0.284,0.947,0,-3.69,0,0.162,0.00125,8.16e-05,0.335,0.274,174.998,audio_features,31mSJLJ2UptaxPj2uCi88A,spotify:track:31mSJLJ2UptaxPj2uCi88A,https://api.spotify.com/v1/tracks/31mSJLJ2UptaxPj2uCi88A,https://api.spotify.com/v1/audio-analysis/31mSJLJ2UptaxPj2uCi88A,237973,4,H
Popular,"The Weeknd, Playboi Carti & Madonna",['7ElKoBirCwNCynhKvOIJIY'],0.181,1.0,4,-19.512,0,0.0613,0.644,0.831,0.965,1e-05,120.526,audio_features,7ElKoBirCwNCynhKvOIJIY,spotify:track:7ElKoBirCwNCynhKvOIJIY,https://api.spotify.com/v1/tracks/7ElKoBirCwNCynhKvOIJIY,https://api.spotify.com/v1/audio-analysis/7ElKoBirCwNCynhKvOIJIY,73693,3,H
HG4,Rod Wave,['1tLy0KzjBLqbdYrp2Plb9p'],0.356,0.103,2,-21.132,1,0.068,0.986,0.868,0.0839,0.512,177.632,audio_features,1tLy0KzjBLqbdYrp2Plb9p,spotify:track:1tLy0KzjBLqbdYrp2Plb9p,https://api.spotify.com/v1/tracks/1tLy0KzjBLqbdYrp2Plb9p,https://api.spotify.com/v1/audio-analysis/1tLy0KzjBLqbdYrp2Plb9p,118930,4,H
El Amor de Su Vida,Grupo Frontera & Grupo Firme,['0O3U5iwTbiXCREMkvotJuN'],0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,audio_features,0O3U5iwTbiXCREMkvotJuN,spotify:track:0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN,165848,4,H
Truck Bed,HARDY,['3RnkgQAKyLR2jouRsaPmj7'],0.777,0.425,1,-12.084,1,0.265,0.0779,0.000233,0.259,0.249,88.994,audio_features,3RnkgQAKyLR2jouRsaPmj7,spotify:track:3RnkgQAKyLR2jouRsaPmj7,https://api.spotify.com/v1/tracks/3RnkgQAKyLR2jouRsaPmj7,https://api.spotify.com/v1/audio-analysis/3RnkgQAKyLR2jouRsaPmj7,191936,4,H
Lil Boo Thang,Paul Russell,['0cVyQfDyRnMJ0V3rjjdlU3'],0.85,0.699,0,-3.292,1,0.0776,0.152,0.0,0.32,0.915,114.481,audio_features,0cVyQfDyRnMJ0V3rjjdlU3,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/tracks/0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/audio-analysis/0cVyQfDyRnMJ0V3rjjdlU3,114234,4,H
Long Journey,Rod Wave,['0PevhpdrjGMaquSpoCPTTq'],0.615,0.48,6,-12.748,0,0.0374,0.0433,0.901,0.13,0.279,74.9,audio_features,0PevhpdrjGMaquSpoCPTTq,spotify:track:0PevhpdrjGMaquSpoCPTTq,https://api.spotify.com/v1/tracks/0PevhpdrjGMaquSpoCPTTq,https://api.spotify.com/v1/audio-analysis/0PevhpdrjGMaquSpoCPTTq,208774,4,H
My Love Mine All Mine,Mitski,['1EcwNdXmOn2K1mhYsrAmFA'],0.245,0.189,9,-13.362,1,0.0302,0.828,0.867,0.15,0.101,73.166,audio_features,1EcwNdXmOn2K1mhYsrAmFA,spotify:track:1EcwNdXmOn2K1mhYsrAmFA,https://api.spotify.com/v1/tracks/1EcwNdXmOn2K1mhYsrAmFA,https://api.spotify.com/v1/audio-analysis/1EcwNdXmOn2K1mhYsrAmFA,223004,4,H
Telekinesis,Travis Scott Featuring SZA & Future,['3RBS7wIAzrBxh99xFqAqkg'],0.493,0.732,2,-7.728,1,0.0324,0.041,0.665,0.0717,0.221,125.105,audio_features,3RBS7wIAzrBxh99xFqAqkg,spotify:track:3RBS7wIAzrBxh99xFqAqkg,https://api.spotify.com/v1/tracks/3RBS7wIAzrBxh99xFqAqkg,https://api.spotify.com/v1/audio-analysis/3RBS7wIAzrBxh99xFqAqkg,104080,4,H
Tulum,Peso Pluma & Grupo Frontera,['1lFAAzNWfj9WHBmPGfIbVK'],0.726,0.728,8,-4.65,0,0.0509,0.000863,0.744,0.0703,0.475,110.038,audio_features,1lFAAzNWfj9WHBmPGfIbVK,spotify:track:1lFAAzNWfj9WHBmPGfIbVK,https://api.spotify.com/v1/tracks/1lFAAzNWfj9WHBmPGfIbVK,https://api.spotify.com/v1/audio-analysis/1lFAAzNWfj9WHBmPGfIbVK,197592,4,H
Sabor Fresa,Fuerza Regida,['1UMm1Qs3u59Wvk53zBUE8r'],0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,audio_features,1UMm1Qs3u59Wvk53zBUE8r,spotify:track:1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/tracks/1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/audio-analysis/1UMm1Qs3u59Wvk53zBUE8r,156501,3,H
Spotless,Zach Bryan Featuring The Lumineers,['3F2Fp02Tqe5JNDjnLwQXt8'],0.473,0.455,9,-8.774,1,0.0339,0.201,0.15,0.142,0.33,82.717,audio_features,3F2Fp02Tqe5JNDjnLwQXt8,spotify:track:3F2Fp02Tqe5JNDjnLwQXt8,https://api.spotify.com/v1/tracks/3F2Fp02Tqe5JNDjnLwQXt8,https://api.spotify.com/v1/audio-analysis/3F2Fp02Tqe5JNDjnLwQXt8,268973,4,H
Girl In Mine,Parmalee,['5OggIN1I7r3QdomMU09GkO'],0.859,0.417,7,-12.793,1,0.245,0.0204,6.69e-05,0.038,0.771,128.112,audio_features,5OggIN1I7r3QdomMU09GkO,spotify:track:5OggIN1I7r3QdomMU09GkO,https://api.spotify.com/v1/tracks/5OggIN1I7r3QdomMU09GkO,https://api.spotify.com/v1/audio-analysis/5OggIN1I7r3QdomMU09GkO,191026,4,H
Deli,Ice Spice,['6uYUaweZh5y0ehZib7ubo5'],0.48,0.638,7,-9.669,1,0.0878,0.00445,0.179,0.0967,0.167,139.938,audio_features,6uYUaweZh5y0ehZib7ubo5,spotify:track:6uYUaweZh5y0ehZib7ubo5,https://api.spotify.com/v1/tracks/6uYUaweZh5y0ehZib7ubo5,https://api.spotify.com/v1/audio-analysis/6uYUaweZh5y0ehZib7ubo5,145715,4,H
Segun Quien,Maluma & Carin Leon,['5A32KQZznC2HSqr9qzTl2N'],0.553,0.632,4,-4.837,0,0.0782,0.375,0.0,0.267,0.687,85.1,audio_features,5A32KQZznC2HSqr9qzTl2N,spotify:track:5A32KQZznC2HSqr9qzTl2N,https://api.spotify.com/v1/tracks/5A32KQZznC2HSqr9qzTl2N,https://api.spotify.com/v1/audio-analysis/5A32KQZznC2HSqr9qzTl2N,309587,4,H
Lacy,Olivia Rodrigo,['1bTyIHNpFEjT4V7nAVBuv8'],0.509,0.0454,8,-28.525,1,0.0459,0.988,0.927,0.113,0.558,146.02,audio_features,1bTyIHNpFEjT4V7nAVBuv8,spotify:track:1bTyIHNpFEjT4V7nAVBuv8,https://api.spotify.com/v1/tracks/1bTyIHNpFEjT4V7nAVBuv8,https://api.spotify.com/v1/audio-analysis/1bTyIHNpFEjT4V7nAVBuv8,190693,4,H
Oh U Went,Young Thug Featuring Drake,['7qLr3HMApUbyDkUvgIvHnB'],0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,audio_features,7qLr3HMApUbyDkUvgIvHnB,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333,4,H
Nostalgia,Rod Wave & Wet,['3iT6bEadJKPuGhc01xKGLF'],0.539,0.598,11,-6.409,0,0.124,0.429,0.407,0.324,0.561,179.795,audio_features,3iT6bEadJKPuGhc01xKGLF,spotify:track:3iT6bEadJKPuGhc01xKGLF,https://api.spotify.com/v1/tracks/3iT6bEadJKPuGhc01xKGLF,https://api.spotify.com/v1/audio-analysis/3iT6bEadJKPuGhc01xKGLF,125600,4,H
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",['3nQrfxdEL6YwTMhyeXagqB'],0.649,0.433,1,-9.84,1,0.313,0.00376,0.0,0.134,0.0782,159.922,audio_features,3nQrfxdEL6YwTMhyeXagqB,spotify:track:3nQrfxdEL6YwTMhyeXagqB,https://api.spotify.com/v1/tracks/3nQrfxdEL6YwTMhyeXagqB,https://api.spotify.com/v1/audio-analysis/3nQrfxdEL6YwTMhyeXagqB,264012,4,H
HVN On Earth,Lil Tecca & Kodak Black,['2f0ZEAdZQBCRR9NAI6eE2d'],0.636,0.792,7,-6.154,1,0.052,0.081,3.81e-05,0.099,0.445,126.053,audio_features,2f0ZEAdZQBCRR9NAI6eE2d,spotify:track:2f0ZEAdZQBCRR9NAI6eE2d,https://api.spotify.com/v1/tracks/2f0ZEAdZQBCRR9NAI6eE2d,https://api.spotify.com/v1/audio-analysis/2f0ZEAdZQBCRR9NAI6eE2d,292693,4,H
Bipolar,Peso Pluma x Jasiel Nunez x Junior H,['3OoHQKAHZN2Yd8XY5scjO7'],0.863,0.611,10,-8.01,0,0.467,0.178,0.0,0.705,0.793,81.983,audio_features,3OoHQKAHZN2Yd8XY5scjO7,spotify:track:3OoHQKAHZN2Yd8XY5scjO7,https://api.spotify.com/v1/tracks/3OoHQKAHZN2Yd8XY5scjO7,https://api.spotify.com/v1/audio-analysis/3OoHQKAHZN2Yd8XY5scjO7,92137,4,H
In Your Love,Tyler Childers,['3KABugHgnKx9gF16hEMlBi'],0.565,0.889,9,-9.055,0,0.0379,0.15,0.453,0.141,0.767,120.372,audio_features,3KABugHgnKx9gF16hEMlBi,spotify:track:3KABugHgnKx9gF16hEMlBi,https://api.spotify.com/v1/tracks/3KABugHgnKx9gF16hEMlBi,https://api.spotify.com/v1/audio-analysis/3KABugHgnKx9gF16hEMlBi,240613,4,H
Crazy,Rod Wave,['6maDvWhVptBH4l5kHKsjms'],0.77,0.868,10,-11.699,0,0.0721,0.0304,0.847,0.143,0.306,184.889,audio_features,6maDvWhVptBH4l5kHKsjms,spotify:track:6maDvWhVptBH4l5kHKsjms,https://api.spotify.com/v1/tracks/6maDvWhVptBH4l5kHKsjms,https://api.spotify.com/v1/audio-analysis/6maDvWhVptBH4l5kHKsjms,293933,4,H
Demons,Doja Cat,['6Dcsd6IqGQnrvS3tPyRLeM'],0.42,0.97,4,-8.767,0,0.0433,2.16e-06,0.961,0.0666,0.744,107.481,audio_features,6Dcsd6IqGQnrvS3tPyRLeM,spotify:track:6Dcsd6IqGQnrvS3tPyRLeM,https://api.spotify.com/v1/tracks/6Dcsd6IqGQnrvS3tPyRLeM,https://api.spotify.com/v1/audio-analysis/6Dcsd6IqGQnrvS3tPyRLeM,254859,4,H
Making The Bed,Olivia Rodrigo,['4XqKrAb0nDDEpRlJCxn5xw'],0.507,0.0168,10,-27.752,0,0.107,0.992,0.898,0.102,0.298,82.01,audio_features,4XqKrAb0nDDEpRlJCxn5xw,spotify:track:4XqKrAb0nDDEpRlJCxn5xw,https://api.spotify.com/v1/tracks/4XqKrAb0nDDEpRlJCxn5xw,https://api.spotify.com/v1/audio-analysis/4XqKrAb0nDDEpRlJCxn5xw,196710,4,H
Logical,Olivia Rodrigo,['6StnPNDPCKKa0AMjmzNSlR'],0.0909,0.0192,5,-29.036,0,0.0415,0.991,0.952,0.106,0.0317,72.042,audio_features,6StnPNDPCKKa0AMjmzNSlR,spotify:track:6StnPNDPCKKa0AMjmzNSlR,https://api.spotify.com/v1/tracks/6StnPNDPCKKa0AMjmzNSlR,https://api.spotify.com/v1/audio-analysis/6StnPNDPCKKa0AMjmzNSlR,256668,3,H
East Side Of Sorrow,Zach Bryan,['00syWkRGIVQvYsg2OwfBUw'],0.408,0.607,10,-7.463,1,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,audio_features,00syWkRGIVQvYsg2OwfBUw,spotify:track:00syWkRGIVQvYsg2OwfBUw,https://api.spotify.com/v1/tracks/00syWkRGIVQvYsg2OwfBUw,https://api.spotify.com/v1/audio-analysis/00syWkRGIVQvYsg2OwfBUw,209320,4,H
Standing Room Only,Tim McGraw,['6BOP0cv1eeXcvi1oE8bDVZ'],0.475,0.789,1,-6.124,1,0.038,0.17,0.0,0.147,0.485,155.227,audio_features,6BOP0cv1eeXcvi1oE8bDVZ,spotify:track:6BOP0cv1eeXcvi1oE8bDVZ,https://api.spotify.com/v1/tracks/6BOP0cv1eeXcvi1oE8bDVZ,https://api.spotify.com/v1/audio-analysis/6BOP0cv1eeXcvi1oE8bDVZ,226091,4,H
Checkmate,Rod Wave,['53n8qtPXMUauNSQCVfOAeK'],0.751,0.256,0,-11.702,1,0.0835,0.0257,0.579,0.0958,0.609,172.18,audio_features,53n8qtPXMUauNSQCVfOAeK,spotify:track:53n8qtPXMUauNSQCVfOAeK,https://api.spotify.com/v1/tracks/53n8qtPXMUauNSQCVfOAeK,https://api.spotify.com/v1/audio-analysis/53n8qtPXMUauNSQCVfOAeK,168837,4,H
Can't Have Mine,Dylan Scott,['3jfywRZH6cB2iLyKqo4EZd'],0.663,0.502,5,-7.07,1,0.0285,0.791,0.0,0.105,0.371,143.969,audio_features,3jfywRZH6cB2iLyKqo4EZd,spotify:track:3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/tracks/3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/audio-analysis/3jfywRZH6cB2iLyKqo4EZd,183087,4,H
On My Mama,Victoria Monet,['2FV1QVeQ5fI5gAEPo2ZsHI'],0.864,0.578,1,-8.31,1,0.446,0.044,0.0,0.0827,0.476,161.903,audio_features,2FV1QVeQ5fI5gAEPo2ZsHI,spotify:track:2FV1QVeQ5fI5gAEPo2ZsHI,https://api.spotify.com/v1/tracks/2FV1QVeQ5fI5gAEPo2ZsHI,https://api.spotify.com/v1/audio-analysis/2FV1QVeQ5fI5gAEPo2ZsHI,204074,4,H
Love Is Embarrassing,Olivia Rodrigo,['1haoEnXbsUS3OFIWaUJ3wb'],0.534,0.82,9,-3.44,1,0.0886,0.00376,0.0,0.136,0.664,160.064,audio_features,1haoEnXbsUS3OFIWaUJ3wb,spotify:track:1haoEnXbsUS3OFIWaUJ3wb,https://api.spotify.com/v1/tracks/1haoEnXbsUS3OFIWaUJ3wb,https://api.spotify.com/v1/audio-analysis/1haoEnXbsUS3OFIWaUJ3wb,154517,4,H
