Songs,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot/not_hot
Sarah's Place,Zach Bryan Featuring Noah Kahan,['1vhbThkFnqAHbZp0fEjXE4'],0.576,0.683,7,-5.103,1,0.118,0.41,0.0,0.0819,0.433,151.566,audio_features,1vhbThkFnqAHbZp0fEjXE4,spotify:track:1vhbThkFnqAHbZp0fEjXE4,https://api.spotify.com/v1/tracks/1vhbThkFnqAHbZp0fEjXE4,https://api.spotify.com/v1/audio-analysis/1vhbThkFnqAHbZp0fEjXE4,214056,4,H
Flowers,Miley Cyrus,['5ZQMnWe2T0UGJZt5DAjLvV'],0.184,0.107,8,-29.39,0,0.0518,0.964,0.946,0.118,0.0393,105.577,audio_features,5ZQMnWe2T0UGJZt5DAjLvV,spotify:track:5ZQMnWe2T0UGJZt5DAjLvV,https://api.spotify.com/v1/tracks/5ZQMnWe2T0UGJZt5DAjLvV,https://api.spotify.com/v1/audio-analysis/5ZQMnWe2T0UGJZt5DAjLvV,610286,3,H
Bad Idea Right?,Olivia Rodrigo,['3IX0yuEVvDbnqUwMBB3ouC'],0.627,0.879,9,-3.446,1,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,audio_features,3IX0yuEVvDbnqUwMBB3ouC,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/tracks/3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/audio-analysis/3IX0yuEVvDbnqUwMBB3ouC,184784,4,H
Thinkin' Bout Me,Morgan Wallen,['4offR0dV5c6dcIvEkduNdv'],0.952,0.231,2,-16.822,1,0.516,0.00297,0.0,0.0997,0.309,129.943,audio_features,4offR0dV5c6dcIvEkduNdv,spotify:track:4offR0dV5c6dcIvEkduNdv,https://api.spotify.com/v1/tracks/4offR0dV5c6dcIvEkduNdv,https://api.spotify.com/v1/audio-analysis/4offR0dV5c6dcIvEkduNdv,189571,4,H
Agora Hills,Doja Cat,['59WctDN7Mo6Zgwoh1PKQt0'],0.584,0.625,8,-7.749,0,0.0737,0.00276,0.852,0.103,0.637,245.859,audio_features,59WctDN7Mo6Zgwoh1PKQt0,spotify:track:59WctDN7Mo6Zgwoh1PKQt0,https://api.spotify.com/v1/tracks/59WctDN7Mo6Zgwoh1PKQt0,https://api.spotify.com/v1/audio-analysis/59WctDN7Mo6Zgwoh1PKQt0,261900,3,H
All My Life,Lil Durk Featuring J. Cole,['0BlYwEaERbk7ox1IqIhHhc'],0.583,0.978,7,-2.46,1,0.282,0.0175,0.0,0.187,0.617,97.682,audio_features,0BlYwEaERbk7ox1IqIhHhc,spotify:track:0BlYwEaERbk7ox1IqIhHhc,https://api.spotify.com/v1/tracks/0BlYwEaERbk7ox1IqIhHhc,https://api.spotify.com/v1/audio-analysis/0BlYwEaERbk7ox1IqIhHhc,225760,4,H
Need A Favor,Jelly Roll,['5twSy6ffBrF03mnNUsUgJZ'],0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,audio_features,5twSy6ffBrF03mnNUsUgJZ,spotify:track:5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/tracks/5twSy6ffBrF03mnNUsUgJZ,https://api.spotify.com/v1/audio-analysis/5twSy6ffBrF03mnNUsUgJZ,197400,4,H
Anti-Hero,Taylor Swift,['0V3wPSX9ygBnCm8psDIegu'],0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4,H
Used To Be Young,Miley Cyrus,['41WQUSINanQHfhfKpFDsms'],0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,41WQUSINanQHfhfKpFDsms,spotify:track:41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/tracks/41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/audio-analysis/41WQUSINanQHfhfKpFDsms,190461,4,H
Rich Men North Of Richmond,Oliver Anthony Music,['78Du4CMFgnhdlG33gblkiP'],0.678,0.264,10,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,audio_features,78Du4CMFgnhdlG33gblkiP,spotify:track:78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/tracks/78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/audio-analysis/78Du4CMFgnhdlG33gblkiP,187244,4,H
